Questions,Generated pipelines,,,"24 Sep,2025",Remarks,"25 Sep, 2025",Remarks,"26 Sep, 2025",Remarks
Find tasks that have not been updated since 16 January.,"[$match: {\n  \""state.name\"": \""In-Progress\""\n}\n• $sort: {\n  \""createdTimeStamp\"": 1\n}\n• $project: {\n  \""_id\"": 1,\n  \""displayBugNo\"": 1,\n  \""title\"": 1,\n  \""priority\"": 1,\n  \""state.name\"": 1,\n  \""assignee\"": 1,\n  \""project.name\"": 1,\n  \""cycle.name\"": 1,\n  \""modules.name\"": 1,\n  \""createdTimeStamp\"": 1\n}\n• $limit: 20\]",,,Working,,,,,
Find all linked documents for a simpo business.,"[{""$match"":{""business.name"":{""$regex"":""simpo"",""$options"":""i""}}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find all members of a simpo project.,"{ ""project.name"": ""simpo"" }",,,Working,,,,,
List all users with a assignee role.,"[{""$match"":{""$or"":[{""assignee.name"":{""$regex"":""role."",""$options"":""i""}},{""assignees.name"":{""$regex"":""role."",""$options"":""i""}}]}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find all users who have a create project access.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""access."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""access."",""$options"":""i""}}]}}]",,,Working,,,,,
Find all members who joined a project after a 12 aug 2024 joiningDate.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""after a 12 aug 2024 joiningdate."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""after a 12 aug 2024 joiningdate."",""$options"":""i""}}]}}]",,,Working,,,,,
Count the total number of users in a jewellery business.,"[{""$count"":""total""}]",,,Not Working,,,,,
Find all comments on a task.,[{$limit: 20}],,,Working,,,,,
List all projects where the priority is high.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
Count the number of messages of each type for a given work item.,"[{""$count"":""total""}]",,,Working ,,,,,
Count the number of bugs in project isthara.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""isthara."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""isthara."",""$options"":""i""}}]}},{""$count"":""total""}]",,,Working,,,,,
Get the count of tasks for each priority level within a isthara project.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Not Working,,,,,
Find the top 5 projects with the most tasks.,"{$count: \""total\""}",,,Working,,,,,
Calculate the average number of days a task remains in a not started status.,"{""$limit"": 20}",,,Working,,,,,
Get a list of all bugs in project simpo.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""simpo."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""simpo."",""$options"":""i""}}]}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find the projects where status is not started.,"{ ""projectStatus"": { ""$ne"": ""started"" } }",,,Working,,,,,
Find the most frequent assignee for tasks in a project isthara.,"[{""$match"":{""$or"":[{""assignee.name"":{""$regex"":""for tasks in a project isthara."",""$options"":""i""}},{""assignees.name"":{""$regex"":""for tasks in a project isthara."",""$options"":""i""}}]}}]",,,Working,,,,,
Find the projects whose state is Backlog,"{""visibility"": ""Backlog""}",,,Working,,,,,
fetch the details of isthara.,"{""business.name"": ""isthara""}",,,Not Working,,,,,
Find the default assignee for a simpo project.,"[{""$lookup"":{""from"":""members"",""localField"":null,""foreignField"":null,""as"":""members""}},{""$unwind"":{""path"":""$members"",""preserveNullAndEmptyArrays"":true}}]",,,Working,,,,,
List all projects whose priority is high,"[{""$lookup"":{""from"":""members"",""localField"":null,""foreignField"":null,""as"":""members""}},{""$unwind"":{""path"":""$members"",""preserveNullAndEmptyArrays"":true}}]",,,Working,,,,,
Find the status of simpo project.,"{""project.name"": ""simpo""}",,,Working,,,,,
The project simpo is created by ?.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""simpo is created by ?."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""simpo is created by ?."",""$options"":""i""}}]}}]",,,Working,,,,,
Get the list of team members of isthara,"[{""$project"":{""_id"":1,""name"":1,""email"":1,""role"":1,""joiningDate"":1}}]",,,Working,,,,,
Find the name of a staff member who created simpo.,"{""title"": ""simpo""}",,,Not Working,,,,,
Find all projects that have cycles in it.,"{""linkedCycle"": {""$exists"": true, ""$not"": {""$size"": 0}}}",,,Working,,,,,
Find all documents that have been locked in a project.,"{ ""locked"": true }",,,Working,,,,,
count the total team members in simpo.,"[{""$count"":""total""}]",,,Working,,,,,
Get all documents that have stickies set.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Fetch the deatils of simpo and isthara.,"{""business.name"": {""$in"": [""simpo"", ""isthara""]}}",,,Working,,,,,
Find all documents in the workitem collection where the priority is low.,"{ ""priority"": ""low"" }",,,Working,,,,,
Find all documents of workitem that were updated after 2025 june.,"{ ""_class"": ""workitem"", ""updatedAt"": { ""$gt"": ISODate(""2025-06-30T23:59:59Z"") } }",,,Not Working,Agent failed ,,,,
Get the title of a work item given which is created by prince monga.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find all projects with Admin Access.,"{""visibility"": ""Admin Access""}",,,Not Working,,,,,
List all projects avaliable,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
Find all linked documents for Isthara.,"{""$or"": [ {""business.name"": ""Isthara""}, {""project.name"": ""Isthara""}, {""createdBy.name"": ""Isthara""}, {""linkedMembers.name"": ""Isthara""}, {""linkedModule.name"": ""Isthara""} ]}",,,Working,,,,,
Find the description of Simpo.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}},{""$limit"":20]",,,Working,,,,,
"Show me the 3 modules with the fewest open bugs. Then, for each of those modules, tell me who the primary assignee "," [$count: ""total""]",,,Working ,,,,,
"Find the project with the most overdue work items, and then list all members of that project.","[{""$match"":{""$or"":[{""project.name"":{""$regex"":""with the most overdue work items, and then list all members of that project."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""with the most overdue work items, and then list all members of that project."",""$options"":""i""}}]}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Not Working,"no projects have OVERDUE status, so the query returns empty.",,,,
"Who is the assignee that has completed the most urgent tasks in the last month? For that person, show their other in-progress tasks","[{""$match"":{""$or"":[{""assignee.name"":{""$regex"":""that has completed the most urgent tasks in the last month? for that person, show their other in-progress tasks"",""$options"":""i""}},{""assignees.name"":{""$regex"":""that has completed the most urgent tasks in the last month? for that person, show their other in-progress tasks"",""$options"":""i""}}]}}]",,,Working,,,,,
"Show me the 3 modules with the fewest open bugs. Then, for each of those modules, tell me who the primary assignee is","[{""$match"":{""$or"":[{""assignee.name"":{""$regex"":""is"",""$options"":""i""}},{""assignees.name"":{""$regex"":""is"",""$options"":""i""}}]}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find all projects where the creator's name is prince monga and which have at least one module assigned to Vivek.,"[{""$lookup"":{""from"":""module"",""localField"":null,""foreignField"":null,""as"":""modules""}},{""$unwind"":{""path"":""$modules"",""preserveNullAndEmptyArrays"":true}},{""$match"":{""modules.name"":{""$regex"":""assigned to vivek."",""$options"":""i""}}}]",,,Working,,,,,
Find all active cycles and list the high-priority work items within them.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Not Working,Agent partially worked (found active cycles) but failed to fetch high-priority work items inside them.,,,,
Identify projects that have not been started and find their designated project lead.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""lead."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""lead."",""$options"":""i""}}]}}]",,,Not Working,"Agent patially worked it correctly filtered NOT_STARTED projects,
but failed to fetch the designated project lead",,,,
Count the number of public pages created by anand chikkam.,"[{""$count"":""total""}]",,,Working ,,,,,
List all modules that are marked as favorites and find who created them.,"[{""$project"":{""_id"":1,""title"":1,""description"":1,""isFavourite"":1,""createdTimeStamp"":1}}]",,,Not Working,The agent is not working correctly – it failed to return an empty result when no favorites exist and instead showed dummy items.,,,,
Find all completed work items assigned to A Vikas.,"[$match: {\n  \""state.name\"": \""Completed\""\n}\n• $match: {\n  \""$or\"": [\n    {\n      \""assignee.name\"": {\n        \""$regex\"": \""A Vikas\"",\n        \""$options\"": \""i\""\n      }\n    },\n    {\n      \""assignees.name\"": {\n        \""$regex\"": \""A Vikas\"",\n        \""$options\"": \""i\""\n      }\n    }\n  ]\n}...\n• $project: {\n  \""_id\"": 1,\n  \""displayBugNo\"": 1,\n  \""title\"": 1,\n  \""priority\"": 1,\n  \""state.name\"": 1,\n  \""assignee\"": 1,\n  \""project.name\"": 1,\n  \""cycle.name\"": 1,\n  \""modules.name\"": 1,\n  \""createdTimeStamp\"": 1\n}\n• $limit: 20\n\]",,,Working,,,,,
Retrieve all private pages and identify which project they belong to.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""they belong to."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""they belong to."",""$options"":""i""}}]}}]",,,,,,,,
Find all admin role members and list the projects they are associated with.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Not Working,"Agent is not working correctly. The query asked for all admin role members and their associated projects, but the agent returned a list of work items instead, ignoring the role filter and returning irrelevant results.",,,,
Get all work items with UI in their title or description and check their current state.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Not Working,"Agent is partially working. It returned work items, but it did not correctly filter by “UI” in title or description instead, it seems to return all items without applying the intended filter.",,,,
List all cycles that are completed and find their start and end dates.,"[{""$project"":{""_id"":1,""title"":1,""status"":1,""startDate"":1,""endDate"":1}}]",,,Not Working,"Agent failed – no COMPLETED cycles exist in the data, but results were still returned. Expected an empty list.",,,,
Find all archived projects and identify who created them.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working ,,,,,
Which project members are assigned to urgent work items in the WMS project?,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""wms"",""$options"":""i""}},{""projectDoc.name"":{""$regex"":"" wms"",""$options"":""i""}}]}}]",,,Not Working,Agent partially works; it retrieves urgent work items but does not clearly list assigned project members.,,,,
What are the titles of public pages associated with projects led by prince monga?,"[$match: {\n  \""visibility\"": \""PUBLIC\""\n}\n• $lookup: {\n  \""from\"": \""project\"",\n  \""let\"": {\n    \""local_project__id\"": \""$project._id\""\n  },\n  \""pipeline\"": [\n    {\n      \""$match\"": {\n        \""$expr\"": {\n          \""$eq\"": [\n            \""$$local_project__id\"",\n            \""$_id\""\n          ]\n        }\n      }\n    }\n  ],\n  \""as\"": \""projectDoc\""\n}...\n• $project: {\n  \""_id\"": 1,\n  \""title\"": 1\n}\n• $limit: 20\n\n]",,,Working ,,,,,
Show me all active cycles that contain work items assigned to vasiq.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find the email addresses of all members who are assigned to work items in the Sprint-1 cycle.,"[{""$match"":{""linkedCycle.name"""":{""$regex"":""Sprint-1"",""$options"":""i""}}}]",,,Working ,,,,,
List all modules in the isthara project that have associated work items in the Backlog state.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""that have associated work items in the backlog state."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""that have associated work items in the backlog state."",""$options"":""i""}}]}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Not Working,,,,,
Who is the lead of the project that contains the most completed work items?,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working ,incomplete result / no lead identified.,,,,
What are the end dates for cycles associated with the AI Ready School project?,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""AI Ready School"",""$options"":""i""}}]}}]",,,Not Working,no cycle end dates found / incomplete data.,,,,
Find all work items created by members with the role guest.,"[{""$match"":{""createdBy.name"":{""$regex"":""guest"",""$options"":""i""}}}]",,,Working,,,,,
List the titles of pages that are linked to projects where vivek is the creator.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,working ,,,,,
How many high-priority work items are there in projects that are currently inactive?,"[{""$count"":""total""}]",,,,,,,,
,,,,,,,,,
,,,,,,,,,
RAG Queries,,,,,,,,,
,,,,,,,,,
Find the work item about cycle UI breaking,,,,,,,,,
Which task mentions adding a popup during creation,,,,,,,,,
Show me the urgent work item assigned to Abhinaya,,,,,,,,,
What work item talks about workitem testing,,,,,,,,,
List the completed work items,,,,,,,,,
Which tasks are still unstarted,,,,,,,,,
Show me all high priority items,,,,,,,,,
Find cancelled work items,,,,,,,,,
What tasks were created by prince monga,,,,,,,,,
Which work items are assigned to multiple people,,,,,,,,,
Where does it talk about CRM lead management,,,,,,,,,
Find the page explaining dashboard summary cards,,,,,,,,,
Which page lists UI issues like responsiveness and dropdown search,,,,,,,,,
Show me the page that describes customer management,,,,,,,,,
Open the page called Simpo CRM,,,,,,,,,
Show me the Issues documentation page,,,,,,,,,
Find the page about CRM Pipeline,,,,,,,,,
Which work item relates to CRM issues mentioned in the Issues page,,,,,,,,,
Connect the cycle testing work item with the page that explains Sprint 1,,,,,,,,,
Is there any work item about lead status that matches the CRM Issues page,,,,,,,,,
